index_sa,DataValue,GeoName,TimePeriod
213.84,41854,Alabama,2018Q1
219.9,42109,Alabama,2018Q2
222.4,42397,Alabama,2018Q3
223.41,42956,Alabama,2018Q4
214.66,42073,Arkansas,2018Q1
216.71,42276,Arkansas,2018Q2
219.99,42582,Arkansas,2018Q3
225.1,43312,Arkansas,2018Q4
310.19,43170,Arizona,2018Q1
313.84,43242,Arizona,2018Q2
319.26,43853,Arizona,2018Q3
326.22,44310,Arizona,2018Q4
277.72,61641,California,2018Q1
280.1,62399,California,2018Q2
283.15,62775,California,2018Q3
285.28,63502,California,2018Q4
453.27,56015,Colorado,2018Q1
456.94,56475,Colorado,2018Q2
464.77,57099,Colorado,2018Q3
467.8,57760,Colorado,2018Q4
173.49,73603,Connecticut,2018Q1
173.46,73654,Connecticut,2018Q2
174.29,75004,Connecticut,2018Q3
174.21,75975,Connecticut,2018Q4
554.47,81071,"District of Columbia",2018Q1
559.43,81287,"District of Columbia",2018Q2
544.15,82368,"District of Columbia",2018Q3
578.83,82777,"District of Columbia",2018Q4
206.86,50838,Delaware,2018Q1
206.72,51035,Delaware,2018Q2
207.82,51644,Delaware,2018Q3
207.95,52242,Delaware,2018Q4
299.14,48939,Florida,2018Q1
305.04,48980,Florida,2018Q2
310.29,49621,Florida,2018Q3
312.49,50097,Florida,2018Q4
233.87,45088,Georgia,2018Q1
238.48,45335,Georgia,2018Q2
243.45,46071,Georgia,2018Q3
246.71,46473,Georgia,2018Q4
248.83,54032,Hawaii,2018Q1
253.49,54283,Hawaii,2018Q2
261.14,54704,Hawaii,2018Q3
265.87,55201,Hawaii,2018Q4
241.21,47979,Iowa,2018Q1
246.04,48519,Iowa,2018Q2
247.4,48684,Iowa,2018Q3
249.13,50089,Iowa,2018Q4
309.16,42797,Idaho,2018Q1
321.44,43044,Idaho,2018Q2
330.84,43170,Idaho,2018Q3
338.32,43579,Idaho,2018Q4
201.92,56045,Illinois,2018Q1
203.02,56541,Illinois,2018Q2
204.24,57201,Illinois,2018Q3
205.07,57927,Illinois,2018Q4
204.48,46354,Indiana,2018Q1
208.55,46319,Indiana,2018Q2
211.12,46662,Indiana,2018Q3
213.27,47237,Indiana,2018Q4
239.97,49482,Kansas,2018Q1
243.1,49954,Kansas,2018Q2
245.48,50238,Kansas,2018Q3
251.18,50927,Kansas,2018Q4
235.09,41290,Kentucky,2018Q1
237.63,41710,Kentucky,2018Q2
239.45,41845,Kentucky,2018Q3
244.68,42254,Kentucky,2018Q4
277.39,44864,Louisiana,2018Q1
278.46,45443,Louisiana,2018Q2
278.31,45658,Louisiana,2018Q3
280.65,46183,Louisiana,2018Q4
282.21,69628,Massachusetts,2018Q1
285.2,69681,Massachusetts,2018Q2
288.25,70153,Massachusetts,2018Q3
293.74,70826,Massachusetts,2018Q4
251.21,62334,Maryland,2018Q1
250.37,62691,Maryland,2018Q2
251.52,63046,Maryland,2018Q3
253.21,63555,Maryland,2018Q4
243.82,47711,Maine,2018Q1
249.61,48018,Maine,2018Q2
251.47,48396,Maine,2018Q3
256.37,48821,Maine,2018Q4
222.44,47119,Michigan,2018Q1
225.86,47219,Michigan,2018Q2
229.42,47697,Michigan,2018Q3
233.51,48268,Michigan,2018Q4
281.29,55348,Minnesota,2018Q1
285.25,56172,Minnesota,2018Q2
289.12,56598,Minnesota,2018Q3
292.78,57356,Minnesota,2018Q4
232.66,45949,Missouri,2018Q1
235.66,46598,Missouri,2018Q2
240.04,46681,Missouri,2018Q3
244.47,47288,Missouri,2018Q4
201.41,37461,Mississippi,2018Q1
204.67,37765,Mississippi,2018Q2
207.61,38089,Mississippi,2018Q3
209.85,38642,Mississippi,2018Q4
387.41,46603,Montana,2018Q1
393.84,47028,Montana,2018Q2
398.72,47197,Montana,2018Q3
406.57,47625,Montana,2018Q4
238.82,45252,"North Carolina",2018Q1
241.6,45715,"North Carolina",2018Q2
244.45,45921,"North Carolina",2018Q3
248.62,46422,"North Carolina",2018Q4
312.86,53314,"North Dakota",2018Q1
315.4,54068,"North Dakota",2018Q2
312.61,54424,"North Dakota",2018Q3
311.1,55382,"North Dakota",2018Q4
259.29,51633,Nebraska,2018Q1
260.54,51866,Nebraska,2018Q2
265.57,51831,Nebraska,2018Q3
268.01,53082,Nebraska,2018Q4
244.7,61106,"New Hampshire",2018Q1
247.49,60903,"New Hampshire",2018Q2
251.05,61495,"New Hampshire",2018Q3
257.29,62098,"New Hampshire",2018Q4
237.99,66832,"New Jersey",2018Q1
237.8,67255,"New Jersey",2018Q2
239.92,67846,"New Jersey",2018Q3
241.57,68478,"New Jersey",2018Q4
236.91,40574,"New Mexico",2018Q1
240.87,40810,"New Mexico",2018Q2
242.29,41471,"New Mexico",2018Q3
245.59,41911,"New Mexico",2018Q4
247.34,47909,Nevada,2018Q1
257.56,47918,Nevada,2018Q2
263.14,48296,Nevada,2018Q3
266.37,48734,Nevada,2018Q4
240.02,67593,"New York",2018Q1
243.83,68463,"New York",2018Q2
245.99,69034,"New York",2018Q3
246.83,69556,"New York",2018Q4
197.28,47606,Ohio,2018Q1
199.81,47821,Ohio,2018Q2
203.24,48456,Ohio,2018Q3
205.49,49065,Ohio,2018Q4
234.49,45571,Oklahoma,2018Q1
239.7,45922,Oklahoma,2018Q2
241.19,46234,Oklahoma,2018Q3
242.89,46764,Oklahoma,2018Q4
420.72,49327,Oregon,2018Q1
422.83,49625,Oregon,2018Q2
428.46,50121,Oregon,2018Q3
431.65,50531,Oregon,2018Q4
222.37,54607,Pennsylvania,2018Q1
224.09,54888,Pennsylvania,2018Q2
225.55,55561,Pennsylvania,2018Q3
229.82,56327,Pennsylvania,2018Q4
228.53,54336,"Rhode Island",2018Q1
234.63,54544,"Rhode Island",2018Q2
237.24,54381,"Rhode Island",2018Q3
235.33,54815,"Rhode Island",2018Q4
238,42375,"South Carolina",2018Q1
243.66,42481,"South Carolina",2018Q2
247.4,42833,"South Carolina",2018Q3
250.04,43220,"South Carolina",2018Q4
287.49,49453,"South Dakota",2018Q1
293.32,49614,"South Dakota",2018Q2
301.24,50034,"South Dakota",2018Q3
300.28,51437,"South Dakota",2018Q4
255.22,46505,Tennessee,2018Q1
259.19,46848,Tennessee,2018Q2
264.64,47479,Tennessee,2018Q3
269.03,47859,Tennessee,2018Q4
284.62,48547,Texas,2018Q1
287.41,48898,Texas,2018Q2
290.46,49283,Texas,2018Q3
293.66,49888,Texas,2018Q4
393.97,44984,Utah,2018Q1
405.52,45085,Utah,2018Q2
412.4,45458,Utah,2018Q3
421.57,45815,Utah,2018Q4
257.37,56341,Virginia,2018Q1
257.4,56543,Virginia,2018Q2
260.66,57168,Virginia,2018Q3
263.6,57732,Virginia,2018Q4
232.33,53060,Vermont,2018Q1
233.89,53459,Vermont,2018Q2
235.11,53644,Vermont,2018Q3
240.32,54236,Vermont,2018Q4
354.76,59956,Washington,2018Q1
361.1,60342,Washington,2018Q2
368.36,61151,Washington,2018Q3
369.8,61638,Washington,2018Q4
253.48,50304,Wisconsin,2018Q1
258.41,50442,Wisconsin,2018Q2
262.74,50833,Wisconsin,2018Q3
266.02,51429,Wisconsin,2018Q4
213.32,39415,"West Virginia",2018Q1
213.87,39995,"West Virginia",2018Q2
217.15,41206,"West Virginia",2018Q3
213.93,41688,"West Virginia",2018Q4
336.35,59174,Wyoming,2018Q1
340.04,59642,Wyoming,2018Q2
346.81,60381,Wyoming,2018Q3
348.95,61162,Wyoming,2018Q4
